ID,Source PDF,Text Chunk,Chunk Word Count,Chunk Char Count,Relevant to UPSC,GS Paper,Syllabus Topic,Crux
UPSC_0010_0_20260213,Bollywood-Town-February-2026 (4).pdf,". During that time, ""When I saw that, I was laughing with although he initially had apprehensions my parents had already shifted to tears in my eyes. Like you said, maybe he about taking up the role, he ultimately Vrindavan, and they were Krishna watched that show with Krishnaji. He agreed to do it as a tribute to his parents, devotees. So I called them up, and while went where he had to go,"" Rajniesh who are devotees of Krishna. talking to them, I realized that this added. -BTNN 10 • BOLLYWOOD TOWN • February 2026 www.bollywoodtown.in Junglee Pictures collaborates with writer director Raj Kumar Gupta JUNGLEE Pictures has championing meaningful and disruptive connection. This ﬁlm will also be a true narratives across genres",124,733,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0011_0_20260213,Bollywood-Town-February-2026 (4).pdf,". This ﬁlm will also be a true narratives across genres. It started itsannounced its collaboration with tentpole for Junglee - bold and impactful, journey with Dil Dhadakne Do and wentrenowned ﬁlmmaker Raj Kumar Gupta rooted in realism.” to produce blockbuster, superhit andfor an ambitious tentpole ﬁlm, to be Elaborating further, Director Raj Kumar critically acclaimed ﬁlms like Badhaaidirected by him, marking the coming Gupta said, “I've always been drawn to Ho, Raazi, Talvar, Badhaai Do, Bareillytogether of two creative forces known narratives grounded in reality that also Ki Barﬁ, the studio has consistentlyfor delivering engaging, rooted have the ability to connect with audiences delivered stories that not only entertainnarratives that resonate powerfully with on a larger canvas. This ﬁlm is conceived the audience but also sparkaudiences at scale. as a hard-hitting, immersive, engaging and conversations",136,920,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0012_0_20260213,Bollywood-Town-February-2026 (4).pdf,". as a hard-hitting, immersive, engaging and conversations. Moreover, Junglee's 2025 The versatile ﬁlm-maker, best known entertaining theatrical experience. Junglee releases-Haq and the Malayalam ﬁlmfor the successful Raid franchise ﬁlms- Pictures has a strong legacy of backing Ronth, have received widespread acclaimRaid and Raid 2, hard hitting No One thoughtful, content-led cinema, making during their theatrical and streaming runs.Killed Jessica and Aamir among many this collaboration feel like a natural The yet-to-be titled ﬁlm has completedothers. Raj Kumar Gupta has carved a alignment. I'm excited to collaborate with scripting, with casting set to begindistinct space in Indian cinema with Junglee pictures.” shortly",102,729,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0013_0_20260213,Bollywood-Town-February-2026 (4).pdf,". It is said to promise a gripping,stories grounded in realism, sharp Speaking about the association, intense narrative reﬂecting the directorobservation, massy entertainment while producing partner, Myra Karn said, signature style while pushing theremaining high in emotion and drama. “Junglee Pictures brings together heart, envelope in terms of impact.Raj is fresh oﬀ the success of Raid 2 , vision, and fearless storytelling. Junglee's Speaking of the collaboration Vineetone of the top 10 highest grossing bold innovative approach meets Raj Jain, MD, The Times Group shared,theatrical ﬁlms of 2025. His ﬁlms Kumar Gupta's unﬂinching storytelling, ""Junglee Pictures has always focused onbalance authenticity with strong crafting stories that questions the status backing distinctive, relatable stories withcommercial appeal, delivering hard- quo. This collaboration is special and I am lasting cultural value",128,912,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0014_0_20260213,Bollywood-Town-February-2026 (4).pdf,". This collaboration is special and I am lasting cultural value. This collaborationhitting narratives that leave a lasting honoured to be part of this dream team.” with Raj reﬂects the studio's intent to joinimpression. His storytelling sensibility While further details of the story remain forces with ﬁlmmakers who strengthen itsand singular vision aligns seamlessly under wraps, the ﬁlm promises a slate through purposeful, impact-drivenwith Junglee Pictures' creative ethos. compelling experience that blends strong cinema, bringing quality storytelling with Over the years, Junglee Pictures has narrative depth with wide audience relevance, scale, and audience appeal",94,672,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0015_0_20260213,Bollywood-Town-February-2026 (4).pdf,". -BTNNbuilt a formidable ﬁlmography, 12 • BOLLYWOOD TOWN • February 2026 www.bollywoodtown.in NEWS VIEWS GOSSIP PRINT ONLINE EVENTS SOCIAL 2015 - 2025 NOW ON STANDS Town Bollywood of issue 2024 July from republished +91 9892001547 /bollywoodtownindiawww.bollywoodtown.in/bollywoodtown mumbai@bollywoodtown.in /bollywoodtownindia /_bollywoodtown Head Ofce: 27, Ekta CHS Ltd, DR-3, Ram Mandir Road, Goregaon West, Mumbai-400104, India Branch Ofce: Laxmi Nagar, New Delhi-110092, India Cast and makers of Bihu Attack visit army camp in Assam following ﬁlm's release AFTER the theatrical release of Bihu Attack, a ﬁlm deeply rooted in whose vision brings together realism, Bihu Attack, the cast and ﬁlmmakers Assam's socio-cultural fabric and emotional depth and intense of the ﬁlm visited an Indian Army sensitive security concerns. The storytelling",118,849,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0016_0_20260213,Bollywood-Town-February-2026 (4).pdf,". The storytelling. The ﬁlm stars Dev camp in Assam as a heartfelt gesture atmosphere was ﬁlled with warmth, Menaria, Daisy Shah, Arbaaz Khan of respect and gratitude towards the pride and mutual respect, reﬂecting and Rahul Dev in prominent roles. armed forces. The visit marked an the spirit of national unity that the The narrative is further emotional and meaningful interaction ﬁlm seeks to capture. strengthened by impactful between the ﬁlm's team and the Speaking about the visit, producer performances from Raza Murad, soldiers who continue to safeguard Prabir Kanta Saha said, “Bihu Attack Yukti Kapoor, Amiee Misobbah the nation. is inspired by real emotions, real (Amiee Nazma Sultana), Hiten The visit was attended by producer people and real sacriﬁces",121,764,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0017_0_20260213,Bollywood-Town-February-2026 (4).pdf,". Visiting Tejwani, Mir Sarwar, Dimpu Baruah, Prabir Kanta Saha and director Suzad the Army camp in Assam after the Kalindri Das, Crosswell Timung, Jeet Iqbal Khan, along with members of ﬁlm's release was a humbling Raidut and Amit Lekhwani, all the cast and several renowned artists experience for all of us. The courage, adding authenticity and regional from Assam. Prominent Assamese discipline and dedication of our depth to the story. artists Rabi Sharma, Kalindri Das soldiers deeply moved us, and it Set against the backdrop of Assam's and Pinki Das, along with other local reinforced our responsibility to tell vibrant culture and contemporary performers associated with the ﬁlm, this story with honesty and respect. security challenges, Bihu Attack were present, making the visit a This ﬁlm is our small tribute to the continues its theatrical run while signiﬁcant cultural and cultural brave hearts who protect our country spotlighting themes of national exchange",153,973,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0018_0_20260213,Bollywood-Town-February-2026 (4).pdf,". every day.” security, sacriﬁce and resilience. The During the visit, the team spent Produced under the banner of PKS Army camp visit further strengthened time interacting with the jawans, Film Production House, Bihu Attack the emotional bond between the ﬁlm's understanding their experiences and is produced by Prabir Kanta Saha message and the real-life heroes who sharing insights about the making of and directed by Suzad Iqbal Khan, inspired it. -BTNN 14 • BOLLYWOOD TOWN • February 2026 www.bollywoodtown.in 16 • BOLLYWOOD TOWN • February 2026 www.bollywoodtown.in Shreya Sharma shot to fame from the recently released Mastiii4. She has worked opposite Vivek Oberoi and made her presence felt. She is born and brought up in Gurugram and a dentist by profession but her passion towards acting compelled her to move to Mumbai to try her luck in Bollywood",139,859,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0019_0_20260213,Bollywood-Town-February-2026 (4).pdf,". In an exclusive interview with Yogesh Mishra, she spoke about her working experience with director Milap Zaveri and actor Vivek Oberoi, memorable childhood incidents, future projects, and more. www.bollywoodtown.in 17 • BOLLYWOOD TOWN • February 2026 YOGESH MISHRA any inhibition. new city, and you are very young. It yogesh@bollywoodtown.in You are from a medical means when I was in 11th or 12th background, a doctor. Right? grade, I don't think I had that kind of How did you get on board with Yes, I have done my bachelor's in awareness, and my parents would not your latest released movie dental surgery from SGT University. have sent me even if they had. My Mastiii4? From a medical profession to the parents are supportive in every The ﬁrst ﬁlm I did was Mr. and Mrs. ﬁlm industry, what exactly manner possible. So, in those 5 years, Grey, which will release in 2026",151,875,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0020_0_20260213,Bollywood-Town-February-2026 (4).pdf,". ﬁlm industry, what exactly manner possible. So, in those 5 years, Grey, which will release in 2026. inspired you to try your luck in I used to get good marks only so that After doing that, I was searching for Bollywood? my parents would let me become the work, and I met Milap Sir (Milap You see, Sushant Singh Rajput ji president of the university. I was the Zaveri), and he told me about this was an IITian, and Kriti Sanon is an cultural secretary of my university, character of Aanchal, who is actually engineer. There are so many actors and I was always on stage. All the a very possessive wife who keeps on who are outsiders, and they have celebrities who used to come to my checking the husband's location, his done proper courses, and you know college. I used to host the events. So, heartbeat, and this and that. Sir they are in the industry. I think it's somewhere I am happy that I spent (Milap) said, ""Shreya, I think you all about passion for ﬁlm",180,961,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0021_0_20260213,Bollywood-Town-February-2026 (4).pdf,". I've been those 5 years in college because I got should audition for it, and I will doing this since childhood. But to learn a lot. I used to keep on doing audition for it."" So, it was a lot of fun there is one thing: when you are 18 dance. I used to keep on doing debates doing screen tests and look tests for years old, you are completely and theatre. I went to perform in him. The biggest journey of an actor clueless about how you came to a Delhi. It was a lot of fun. is that of a follow-up, whether it is an audition or a screen test. So, when I got to know that I had been selected, I was very happy, and I was very excited that I got to play this character. As we know, Masti is a hit franchise but an adult comedy",152,724,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0022_0_20260213,Bollywood-Town-February-2026 (4).pdf,". As we know, Masti is a hit franchise but an adult comedy. So, what was your ﬁrst reaction when you came to know that you have been called for this ﬁlm? I want to tell you one very beautiful thing about Mastiii 4: it's husbands who are having fun in the ﬁrst three Mastis, but in this Masti, when I read the script, I realized that this Masti is so amazing even for the women. After the interval, actually women get to do so much; we are getting love Visas, and we get to play such amazing characters. When I read what's written in it for women, I was like, ""I have to do this ﬁlm."" That was an exciting point for me, obviously, working with such brilliant actors that I have grown up watching, be it Riteish Sir, Vivek Sir, Aftab Sir, Arshad Sir, or Nargis Ma'am. Is this really the genre you wanted to do, or do you have something else in your dream plan? So, I think as a newcomer, as an artist, I told you that the ﬁrst ﬁlm that I did was Mr. and Mrs",191,955,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0023_0_20260213,Bollywood-Town-February-2026 (4).pdf,". and Mrs. Grey, a murder mystery in which I went through an extensive workshop. So, I think as an artist you should not have 1818 •• BOLLYWOODBOLLYWOOD TOWNTOWN •• FebruaryFebruary 20262026 www.bollywoodtown.inwww.bollywoodtown.in Mastiii4 is a multi-starrer movie. experience with director Milap father is a clinical psychologist. My So, if you want to work solo, Zaveri? younger brother is an engineer. I'm a which actor do you want This was a lot of fun. At the onset, dental graduate myself, as I told you. opposite you? he is strict. We shot the ﬁlm a So, I think I have had a very I will give a very smart answer that while back and released it very beautiful childhood at an NCERT, I have worked with Vivek sir. So, soon. I have worked so hard. I you know, a CBSE school",140,778,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0024_0_20260213,Bollywood-Town-February-2026 (4).pdf,". So, soon. I have worked so hard. I you know, a CBSE school. I used to now, I wish to work with Aditya have seen when we go for dubbing take part in extracurricular activities, Roy Kapur, Shahid Kapoor, Kartik everyone works; everyone gives so so, my inspiration towards acting Aaryan, and Vijay Deverakonda. much love to it, including all the started from there. Did you get the chance for actors, the production team, and Would you like to give a message improvisation in your dialogues everyone. So, it was great working to the readers of Bollywood Town or scenes during the shoot of with him and I would love to work magazine? Mastiii4? with him again. Please watch my ﬁlm in the cinema Our director, Milap Zaveri, is a How were your childhood days? hall. Nowadays, it happens that not very funny person. So, if he How did you come to Mumbai, many people are going to cinema wanted something from himself, and what exactly inspired you to halls because OTT has come",175,970,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0025_0_20260213,Bollywood-Town-February-2026 (4).pdf,". Please he would say, ""Very good, Shreya, join Bollywood? watch Mastiii4 and give a lot of love we will keep this take."" I think we I was born and brought up in to the ﬁlm, and message me on DM should always be a director's actor. Gurgaon. My mother is a about how you liked Aanchal's How was your working biochemistry lecturer, and my character in Mastiii 4. The biggest journey of an actor is that of a follow- up, whether it is an audition or a screen test. So, when I got to know that I had been selected for Mastiii4, I was very happy, and I was very excited that I got to play this character. www.bollywoodtown.in 19 • BOLLYWOOD TOWN • February 2026 Ajay Devgn and Rakul Preet Singh's De De Pyaar De 2 continues to make a mark, trends at #3 in Netﬂix's global top 10 non-English ﬁlms list! DE De Pyaar De 2 continues to win Top 10 Non-English Films' list. As it performance added layers of charm hearts. When the ﬁlm arrived in continues to trend worldwide, and surprise",186,977,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0026_0_20260213,Bollywood-Town-February-2026 (4).pdf,". When the ﬁlm arrived in continues to trend worldwide, and surprise. With its engaging theatres, it brought with it laughter, audiences are tuning in with narrative, emotional highs and pitch- warmth and a deep sense of overwhelming love for this perfect performances, the sequel relatability. And that love has now wholesome, feel-good entertainer. emerged as a fan favourite across travelled far beyond theatres. Since The ﬁlm's Pyaar vs Parivaar generations. its digital premiere on Netﬂix, the conﬂict, woven into a refreshing and De De Pyaar De 2 is directed by ﬁlm has witnessed an even stronger contemporary storyline, struck an Anshul Sharma and produced by T- wave of appreciation, soaring to the instant chord with audiences. The Series' Bhushan Kumar & Krishan coveted #1 spot on Netﬂix India upon crackling banter between Ajay Kumar and Luv Films' Luv Ranjan & release. The momentum didn't stop Devgn and Rakul Preet Singh, R. Ankur Garg",154,950,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0027_0_20260213,Bollywood-Town-February-2026 (4).pdf,". The momentum didn't stop Devgn and Rakul Preet Singh, R. Ankur Garg. The ﬁlm is currently there, as the ﬁlm went on to secure Madhavan's never-seen-before streaming on Netﬂix. the #3 position in Netﬂix's Global avatar, and Meezaan's standout 20 • BOLLYWOOD TOWN • February 2026 www.bollywoodtown.in Chris Pratt says 'Mercy' is ""unlike anything I have done before” CHRIS Pratt is stepping into refuses to stay in one genre for long. As of the story being told. “This ﬁlm is uncharted territory with Mercy, a bold, the case intensiﬁes, the story shifts unlike anything I've done before,” says screen-driven thriller that fuses seamlessly between suspense, Pratt. “We had one camera on me the courtroom drama, mystery, and action investigation, and action, all while whole time, and we were doing 40- into a single, high-concept experience. unfolding through screens. “Mercy is a minute or 50-minute takes",146,904,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0028_0_20260213,Bollywood-Town-February-2026 (4).pdf,". unfolding through screens. “Mercy is a minute or 50-minute takes. Then all the Built around immersive technology 'multi-genre' ﬁlm — it's a courtroom evidence that in the story is provided for and told through a web of digital drama, a thriller, a mystery, and an the trial — what the ﬁlm calls 'the LA perspectives, the ﬁlm pushes both action ﬁlm,” Pratt adds. Municipal Cloud' — was shot using storytelling and performance into new The ﬁlm's narrative relies on a vast iPhones, doorbell cams, GoPros territory. digital evidence system known as the simulating body cameras on police When he ﬁrst read the script for LA Municipal Cloud, where every oﬃcers, drone cameras, video feeds, so MERCY, Pratt immediately knew this recorded moment can become many things. At any given time, we had wasn't a typical project. “I thought it proof—or a weapon—in the pursuit of dozens of cameras rolling. I just was an inventive mystery story unlike justice",159,946,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0029_0_20260213,Bollywood-Town-February-2026 (4).pdf,". I just was an inventive mystery story unlike justice. Surveillance footage, personal assumed everything was being ﬁlmed anything I'd read before, which is devices, and law enforcement cameras all the time!” saying a lot because I read everything! all collide to reconstruct the truth in Sony Pictures Entertainment and But this really caught my attention.” real time. Amazon MGM Studios release Mercy At its core, Mercry unfolds as a high- For Pratt, the ﬁlmmaking process in theatres in 3D in English and Hindi stakes courtroom drama, but the ﬁlm itself mirrored the intensity and scale on 23rd January 2026",100,610,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0030_0_20260213,Bollywood-Town-February-2026 (4).pdf,". -BTNN www.bollywoodtown.in 21 • BOLLYWOOD TOWN • February 2026 Rani Mukerji thanks audience and fans for causing an internet meltdown with Mardaani 3 trailer YASH Raj Films unveiled the people of my country pour so much hearts.” trailer of Mardaani 3 a couple of love for the police force.” She adds, “Mardaani is not just a days back and it has become the She dedicates this moment to the franchise for me. Shivani Shivaji Roy biggest talking point from the Hindi Indian police force by saying, “To my lives in my heart. Through her, I've ﬁlm industry. Unanimously positive brothers and sisters in the police witnessed courage that doesn't shout, appreciation has been pouring in force, especially the women, who are strength that doesn't seek applause, and from all quarters for Rani Mukerji judged more, questioned more, and bravery that comes at a very personal who returns to reprise her widely still stand taller than fear, this ﬁlm cost and I'm inspired by her",165,969,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0031_0_20260213,Bollywood-Town-February-2026 (4).pdf,". Mardaani loved character of Shivani Shivaji exists because of you. This ﬁlm is my has never just been a ﬁlm for me—it's a Roy, a daredevil cop who risks her way of celebrating the entire police feeling, a responsibility. It is deeply life to save 93 young missing girls in humbling to experience so much love force, especially the women oﬃcers a race against time. for a ﬁlm and a franchise that is part of who lead with strength, compassion, Rani thanks people by saying, and ﬁerce integrity.” my existence and has deﬁned my career “Shivani Shivaji Roy is not a in cinema.” Rani says this ﬁery response to the character I switch oﬀ when the Directed by Abhiraj Minawala and trailer is a testament that as a country camera cuts. I carry her with me. produced by Aditya Chopra, Mardaani we are always ready to raise our voice Because through her, I've seen what 3 continues the franchise's tradition of against social crimes. it really means to serve. I've seen socially relevant cinema",175,987,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0032_0_20260213,Bollywood-Town-February-2026 (4).pdf,". it really means to serve. I've seen socially relevant cinema. While how lonely courage can be. I have She says, “Your incredible response Mardaani exposed the grim realities of immense respect for the cops of our and love for Mardaani 3 trailer tells human traﬃcking and Mardaani 2 country who show up every day — me that we, as a country, have a explored the disturbing psyche of a quietly, without complaints, without strong conscience. That we still feel serial rapist who challenged the system, medals, serving our country and anger when something is wrong and Mardaani 3 delves into another dark protecting us silently. Mardaani pride when someone stands up to and brutal reality of our society, further franchise is my salute to them and I protect the helpless",131,768,False,Not Applicable,Not Applicable,Not Applicable
UPSC_0033_0_20260213,Bollywood-Town-February-2026 (4).pdf,". Thank you for strengthening the franchise's legacy of feel so happy and proud to see the holding Mardaani 3 so close to your impactful, issue-based storytelling.-BTNN 22 • BOLLYWOOD TOWN • February 2026 www.bollywoodtown.in Shahid Kapoor Channels Michael Jackson–Inspired Swagger in 'Aashiqon Ki Colony' from O'Romeo SHAHID Kapoor brings a striking Michael Jackson–inspired energy to 'Aashiqon Ki Colony', the latest track from O'Romeo, reaﬃrming his reputation as one of the industry's most dynamic performers. The song showcases Shahid's sharp footwork, ﬂuid movements and unmistakable pop-icon swagger, making it a visual and musical standout. Featuring Disha Patani alongside Shahid Kapoor, the track crackles with sizzling on-screen chemistry, adding to its high-voltage appeal. Blending retro pop inﬂuences with a contemporary aesthetic, 'Aashiqon Ki Colony' is marked by slick styling, rhythmic choreography and a vibrant mood that subtly nods to Michael Jackson's iconic stage presence",143,995,False,Not Applicable,Not Applicable,Not Applicable
